LJ0001-0001|This is synthetic training sample number 0001.|this is synthetic training sample number 0001.
LJ0002-0002|This is synthetic training sample number 0002.|this is synthetic training sample number 0002.
LJ0003-0003|This is synthetic training sample number 0003.|this is synthetic training sample number 0003.
LJ0004-0004|This is synthetic training sample number 0004.|this is synthetic training sample number 0004.
LJ0005-0005|This is synthetic training sample number 0005.|this is synthetic training sample number 0005.
LJ0006-0006|This is synthetic training sample number 0006.|this is synthetic training sample number 0006.
LJ0007-0007|This is synthetic training sample number 0007.|this is synthetic training sample number 0007.
LJ0008-0008|This is synthetic training sample number 0008.|this is synthetic training sample number 0008.
LJ0009-0009|This is synthetic training sample number 0009.|this is synthetic training sample number 0009.
LJ0010-0010|This is synthetic training sample number 0010.|this is synthetic training sample number 0010.
LJ0011-0011|This is synthetic training sample number 0011.|this is synthetic training sample number 0011.
LJ0012-0012|This is synthetic training sample number 0012.|this is synthetic training sample number 0012.
LJ0013-0013|This is synthetic training sample number 0013.|this is synthetic training sample number 0013.
LJ0014-0014|This is synthetic training sample number 0014.|this is synthetic training sample number 0014.
LJ0015-0015|This is synthetic training sample number 0015.|this is synthetic training sample number 0015.
LJ0016-0016|This is synthetic training sample number 0016.|this is synthetic training sample number 0016.
LJ0017-0017|This is synthetic training sample number 0017.|this is synthetic training sample number 0017.
LJ0018-0018|This is synthetic training sample number 0018.|this is synthetic training sample number 0018.
LJ0019-0019|This is synthetic training sample number 0019.|this is synthetic training sample number 0019.
LJ0020-0020|This is synthetic training sample number 0020.|this is synthetic training sample number 0020.
LJ0021-0021|This is synthetic training sample number 0021.|this is synthetic training sample number 0021.
LJ0022-0022|This is synthetic training sample number 0022.|this is synthetic training sample number 0022.
LJ0023-0023|This is synthetic training sample number 0023.|this is synthetic training sample number 0023.
LJ0024-0024|This is synthetic training sample number 0024.|this is synthetic training sample number 0024.
LJ0025-0025|This is synthetic training sample number 0025.|this is synthetic training sample number 0025.
LJ0026-0026|This is synthetic training sample number 0026.|this is synthetic training sample number 0026.
LJ0027-0027|This is synthetic training sample number 0027.|this is synthetic training sample number 0027.
LJ0028-0028|This is synthetic training sample number 0028.|this is synthetic training sample number 0028.
LJ0029-0029|This is synthetic training sample number 0029.|this is synthetic training sample number 0029.
LJ0030-0030|This is synthetic training sample number 0030.|this is synthetic training sample number 0030.
LJ0031-0031|This is synthetic training sample number 0031.|this is synthetic training sample number 0031.
LJ0032-0032|This is synthetic training sample number 0032.|this is synthetic training sample number 0032.
LJ0033-0033|This is synthetic training sample number 0033.|this is synthetic training sample number 0033.
LJ0034-0034|This is synthetic training sample number 0034.|this is synthetic training sample number 0034.
LJ0035-0035|This is synthetic training sample number 0035.|this is synthetic training sample number 0035.
LJ0036-0036|This is synthetic training sample number 0036.|this is synthetic training sample number 0036.
LJ0037-0037|This is synthetic training sample number 0037.|this is synthetic training sample number 0037.
LJ0038-0038|This is synthetic training sample number 0038.|this is synthetic training sample number 0038.
LJ0039-0039|This is synthetic training sample number 0039.|this is synthetic training sample number 0039.
LJ0040-0040|This is synthetic training sample number 0040.|this is synthetic training sample number 0040.
LJ0041-0041|This is synthetic training sample number 0041.|this is synthetic training sample number 0041.
LJ0042-0042|This is synthetic training sample number 0042.|this is synthetic training sample number 0042.
LJ0043-0043|This is synthetic training sample number 0043.|this is synthetic training sample number 0043.
LJ0044-0044|This is synthetic training sample number 0044.|this is synthetic training sample number 0044.
LJ0045-0045|This is synthetic training sample number 0045.|this is synthetic training sample number 0045.
LJ0046-0046|This is synthetic training sample number 0046.|this is synthetic training sample number 0046.
LJ0047-0047|This is synthetic training sample number 0047.|this is synthetic training sample number 0047.
LJ0048-0048|This is synthetic training sample number 0048.|this is synthetic training sample number 0048.
LJ0049-0049|This is synthetic training sample number 0049.|this is synthetic training sample number 0049.
LJ0050-0050|This is synthetic training sample number 0050.|this is synthetic training sample number 0050.
